ID,gw_Coeff,gw_Zmax,gw_Expon,sp_bexp_soil_layers_stag=1,sp_dksat_soil_layers_stag=1,sp_psisat_soil_layers_stag=1,sp_smcmax_soil_layers_stag=1,sp_smcwlt_soil_layers_stag=1,sp_slope,wf_IVGTYP,wf_ISLTYP,fd_LKSATFAC
cat-1,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-100,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-101,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-103,0.005,248.79675293,2,4,0.000003682,0.253750441,0.491368677,0.06100955,0.326140128,15,6,417.678783252
cat-104,0.005,248.79675293,2,4,0.000003979,0.206224645,0.490356449,0.055090049,0.333150489,15,3,415.97064471
cat-105,0.005,248.79675293,2,4,0.000003677,0.302334429,0.492563459,0.063532093,0.330380621,15,6,416.647221753
cat-106,0.005,248.79675293,2,4,0.00000316,0.354999989,0.49370172,0.066,0.334239149,15,6,415.704965847
cat-107,0.005,248.79675293,2,4,0.000004696,0.354999989,0.492220805,0.066,0.339383579,15,6,396.408007282
cat-109,0.005,248.79675293,2,4,0.000003823,0.207160187,0.490862581,0.055645,0.33638671,15,3,415.181033833
cat-11,0.005,248.79675293,2,4,0.000004622,0.141000003,0.487772149,0.046999998,0.331262824,15,3,421.108016845
cat-113,0.005,248.79675293,2,4,0.000003584,0.249725518,0.489912132,0.05753119,0.345074084,15,6,403.404429841
cat-115,0.005,248.79675293,2,4,0.000003851,0.203996543,0.489298415,0.050362192,0.33638671,15,3,415.181033833
cat-119,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-121,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-124,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-130,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-134,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-135,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-14,0.005,248.79675293,2,4,0.000004622,0.141000003,0.486649516,0.046999998,0.3311561,15,3,496.962803476
cat-142,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-146,0.005,248.79675293,2,4,0.000003694,0.230722901,0.490970442,0.058228408,0.340169566,15,6,410.044752032
cat-151,0.005,248.79675293,2,4,0.00000374,0.233319707,0.48969403,0.058144804,0.347375776,15,6,400.281014642
cat-156,0.005,248.79675293,2,4,0.000003881,0.20501726,0.490196095,0.054020592,0.337454816,15,3,413.736314633
cat-161,0.005,248.79675293,2,4,0.000003208,0.300135642,0.493618465,0.064952713,0.33638671,15,6,415.181033833
cat-163,0.005,248.79675293,2,4,0.000003605,0.238983131,0.490346344,0.056722502,0.341195635,15,6,408.664211789
cat-169,0.005,248.79675293,2,4,0.000004368,0.156234053,0.488599463,0.048001556,0.33638671,15,3,415.181033833
cat-174,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-177,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-180,0.005,248.79675293,2,4,0.000004454,0.149952278,0.488574126,0.047915981,0.33638671,15,3,415.181033833
cat-183,0.005,248.79675293,2,4,0.000003673,0.227899785,0.491039163,0.058280092,0.339862017,15,6,410.466778373
cat-185,0.005,248.79675293,2,4,0.000004407,0.153346725,0.488443998,0.047476486,0.33638671,15,3,415.181033833
cat-186,0.005,248.79675293,2,4,0.000003738,0.223729746,0.490148357,0.058076553,0.344643715,15,6,403.98602149
cat-191,0.005,248.79675293,2,4,0.000003836,0.216948552,0.488740533,0.055218625,0.347877215,15,3,399.591718604
cat-196,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-20,0.005,248.79675293,2,4,0.000004407,0.153346725,0.488308294,0.047018162,0.33638671,15,3,415.181033833
cat-23,0.005,248.79675293,2,4,0.00000348,0.252631849,0.491113393,0.056492093,0.33638671,15,6,415.181033833
cat-25,0.005,248.79675293,2,4,0.000003954,0.354999989,0.492527274,0.066,0.316562685,15,6,409.759689318
cat-29,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-35,0.005,248.79675293,2,4,0.00000436,0.156851767,0.488519039,0.047729932,0.33638671,15,3,415.181033833
cat-36,0.005,248.79675293,2,4,0.000003416,0.274686231,0.491209616,0.062331661,0.345787232,15,6,402.430406646
cat-39,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-4,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-42,0.005,248.79675293,2,4,0.000004368,0.156234053,0.488892257,0.048990434,0.33638671,15,3,415.181033833
cat-44,0.005,248.79675293,2,4,0.000004088,0.179782685,0.489160561,0.049896604,0.33638671,15,3,415.181033833
cat-47,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-48,0.005,248.79675293,2,4,0.000003709,0.223729746,0.490686825,0.055075862,0.336428403,15,6,415.124045355
cat-49,0.005,248.79675293,2,4,0.000003552,0.269107359,0.487987781,0.061664838,0.363208814,15,6,378.806622372
cat-51,0.005,248.79675293,2,4,0.000003813,0.215285615,0.490665182,0.05683793,0.339556746,15,3,410.886533852
cat-54,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-58,0.005,248.79675293,2,4,0.000003313,0.291271366,0.491736843,0.065594417,0.348313722,15,6,398.994422261
cat-59,0.005,248.79675293,2,4,0.000004078,0.182600391,0.489277501,0.050509225,0.336757758,15,3,414.677935214
cat-6,0.005,248.79675293,2,4,0.000004615,0.141000003,0.487785303,0.046999998,0.331389804,15,3,420.974825719
cat-63,0.005,248.79675293,2,4,0.000004028,0.189470705,0.489101212,0.052285156,0.340800081,15,3,409.188762259
cat-64,0.005,248.79675293,2,4,0.000003622,0.252631849,0.489419979,0.059258482,0.350852027,15,6,395.551396733
cat-67,0.005,248.79675293,2,4,0.000004019,0.203996543,0.490238995,0.054305647,0.334237346,15,3,415.705293256
cat-68,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-7,0.005,248.79675293,2,4,0.000004682,0.141000003,0.487745135,0.046999998,0.331002036,15,3,421.426411106
cat-73,0.005,248.79675293,2,4,0.000004715,0.141000003,0.487717614,0.046999998,0.33073636,15,3,421.740066266
cat-80,0.005,248.79675293,2,4,0.000004719,0.141000003,0.487208262,0.046999998,0.325819211,15,3,427.433032495
cat-82,0.005,248.79675293,2,4,0.000004585,0.141000003,0.488302916,0.046999998,0.33638671,15,3,415.181033833
cat-9,0.005,248.79675293,2,4,0.000004656,0.141000003,0.487380149,0.046999998,0.327478557,15,3,425.503431165
cat-90,0.005,248.79675293,2,4,0.000004728,0.141000003,0.48394312,0.046999998,0.322594291,15,3,630.788876833
cat-92,0.005,248.79675293,2,4,0.00000483,0.141000003,0.478482719,0.046999998,0.305320055,15,3,900.183263751
cat-94,0.005,248.79675293,2,4,0.000004767,0.141000003,0.47898317,0.046999998,0.306903255,15,3,875.303676784
cat-97,0.005,248.79675293,2,4,0.000005016,0.157521641,0.482474063,0.049138446,0.303708861,15,3,644.096004885
cat-98,0.005,248.79675293,2,4,0.000003975,0.255276456,0.489510213,0.060219339,0.310759971,15,6,421.422659378
